rank	word	part_of_speech	hanja	explanation	nikl_level	topik_level
867	달리다04	동사		빨리 달리다; 말을 ~	초급	B
4594	달리하다01	동사				C
6036	달빛	명사		이 비치다	중급	B
	달성	명사		목표 달성	중급	
2710	달아나다	동사		범인이	중급	B
	달콤하다	형용사		케이크가	중급	
	달하다01	동사		한계에	중급	
2857	닭	명사		을 키우다	초급	A
7478	닭고기	명사		를 볶다	초급	A
2211	닮다	동사		아빠를	초급	B
	닳다	동사		신발이	중급	
5739	담01	명사		~을 쌓다	중급	C
	담03	명사		담 날	중급	
2920	담그다	동사		물에	중급	B
1616	담기다01	동사		음식이 그릇에; 담다	중급	B
609	담다01	동사		쌀을; 넣다	중급	B
2057	담당	명사	擔當	담당 부서	중급	C
4988	담당자	명사	擔當者	가 처리하다	중급	C
2496	담당하다	동사	擔當-			B
679	담배	명사		를 피우다	초급	A
	담백하다	형용사		맛이	중급	
9089	담요	명사		를 덮다	중급	B
2858	담임	명사	擔任	을 맡다	중급	B
4191	답03	명사	答	이 없다	초급	C
2618	답답하다	형용사		가슴이	초급	B
4989	답변	명사	答辯	을 듣다	중급	C
7738	답장	명사	答狀	을 보내다	초급	B
3228	답하다	동사	答-			B
14205	닷새	명사		가 걸리다	중급	B
	-당16	접사		시간당	중급	
3312	당근	명사		을 먹다	중급	B
3140	당기다01	동사		의자를	중급	B
3401	당당하다	형용사	堂堂-	태도가	중급	C
	당분간	명사		당분간 쉬다	중급	
6038	당분간	부사	當分間	당분간 쉬다	중급	C
271	당시02	명사	當時	그 당시	중급	C
217	당신02	대명사	當身	인칭 대명사	중급	B
1311	당연하다01	형용사	當然-	결과가	중급	B
2567	당연히01	부사	當然-	당연히 다르다	중급	B
	당일	명사		로 다녀오다	중급	
1320	당장02	명사	當場	지금 당장	중급	B
	당첨	명사		복권 당첨	중급	
675	당하다01	동사	當-	사기꾼에게	중급	C
	당황02	명사		을 하다	중급	
2619	당황하다	동사	唐慌-			B
1434	닿다01	동사		손에	중급	B
	대-18	접사		대가족	중급	
9091	대01	명사		가 굵다; 줄기	중급	C
5090	대01	의존명사		가 굵다; 담배 한 ~	중급	C
527	대06	의존명사	代			C
2764	대11	의존명사	對	개인 ~ 개인		B
1208	대15	의존명사	臺			B
	대16	의존명사		차 한 대	초급	
3229	대가06	명사	代價	를 지불하다(물건)	중급	C
	대강02	명사		대강 정리하다	중급	
6770	대강02	부사	大綱	대강 정리하다	중급	C
4124	대개03	명사	大槪	대개의 경우	중급	C
1709	대개03	부사	大槪	대개의 경우	중급	C
	대구	고유 명사	大邱			B
	대구03	명사		에 살다	초급	
1878	대규모	명사	大規模	대규모 행사	중급	C
2174	대기07	명사	大氣	가 오염되다	중급	C
	대기16	명사		를 시키다	중급	
2406	대기업	명사	大企業	에 취직하다	중급	B
5337	대기하다04	동사	待機-			C
5092	대낮	명사		처럼 밝다	중급	C
724	대다01	동사		열차 시간에; 귀에 ~	중급	C
3683	대다수	명사	大多數	가 찬성하다	중급	C
2248	대단하다	형용사		실력이	중급	B
2249	대단히	부사		대단히 좋다	중급	B
1453	대답	명사	對答	을 기다리다	초급	A
1096	대답하다	동사	對答-			A
4051	대도시	명사	大都市	에 살다	중급	B
	대략	명사		대략 설명하다	중급	
5195	대략	부사	大略	대략 설명하다	중급	C
2795	대량01	명사	大量	으로 생산하다	중급	C
569	대로01	의존명사				C
	대로05	명사		로 나서다	중급	
2995	대륙01	명사	大陸			C
	대리05	명사		로 참석하다	중급	
	대립03	명사		이 심하다	중급	
2333	대문03	명사	大門	을 열다	중급	B
391	대부분	명사	大部分	대부분의 시간	초급	B
	대부분	부사		대부분의 시간	초급	
	대비09	명사		색채 대비	중급	
4990	대비10	명사	對備	노후 대비	중급	C
2568	대비하다04	동사	對備-			C
5471	대사04	명사	大使	직업	중급	C
4193	대사17	명사	臺詞	를 외우다	중급	C
5883	대사관	명사	大使館	미국 대사관	초급	A
	대상11	명사		연구 대상	중급	
8710	대상자03	명사	對象者	합격 대상자	중급	C
655	대신03	명사	代身	나 대신 너	중급	B
3032	대신하다	동사	代身-			C
8342	대여섯	관형사		대여섯 살	중급	C
	대여섯	수사		대여섯 살	중급	
2038	대응02	명사	對應	법적 대응	중급	C
2407	대응하다	동사	對應-			C
8043	대입01	명사	大入			C
	대전	고유 명사	大田			B
	대전01	명사		지명	초급	
5339	대접05	명사	待接	손님 대접	중급	C
6387	대접하다	동사	待接-			C
	대조10	명사		지문 대조	중급	
808	대중02	명사	大衆	과 소통하다	중급	B
	대중가요	명사		를 부르다	중급	
9527	대중교통	명사	大衆交通	으로 가다	중급	B
2439	대중문화	명사	大衆文化	가 발전하다	중급	B
11691	대중적	명사	大衆的			C
744	대책03	명사	對策	을 마련하다	중급	C
	대처04	명사		대처 방안	중급	
3981	대처하다02	동사	對處-			C
	대청소	명사		집안 대청소	중급	
4991	대체02	부사	大體			C
	대체03	명사		대체 방안	중급	
1685	대체로	부사	大體-	대체로 그러하다	중급	C
	대출02	명사		도서 대출	중급	
2954	대출03	명사	貸出			C
2824	대충01	부사		대충 읽다	중급	C
128	대통령	명사	大統領	을 뽑다	중급	B
482	대표	명사	代表	로 꼽히다	중급	B
	대표적	관형사		대표적 작품	중급	
1760	대표적	명사	代表的	대표적 작품	중급	B
4415	대표하다	동사	代表-			C
24	대하다02	동사	對-	얼굴을	중급	B
261	대학01	명사	大學	에 들어가다	초급	A
4416	대학교	명사	大學校	에 입학하다	초급	A
7487	대학교수	명사	大學敎授			B
	대학로	고유 명사	大學路			C
1944	대학생	명사	大學生	이 되다	초급	A
3268	대학원	명사	大學院	을 다니다	초급	B
	대한민국	고유 명사	大韓民國			B
	대한민국	명사		대한민국 국민	중급	
3183	대합실	명사	待合室			C
1589	대형04	명사	大型	대형 냉장고	중급	C
699	대화06	명사	對話	를 나누다	초급	A
8044	대화하다02	동사	對話-			B
485	대회02	명사	大會	가 열리다	초급	B
	댁01	대명사		선생님 댁	초급	
1867	댁01	명사	宅	선생님 댁	초급	A
3402	댐02	명사		을 건설하다; dam	중급	C
46	더01	부사		하나 더	초급	A
1473	더구나01	부사		더구나 덥기까지 하다	중급	B
7211	더더욱	부사				C
9095	더러워지다	동사		옷이	중급	C
3269	더럽다	형용사		손이	초급	B
	더럽히다	동사		옷을	중급	
1293	더불다	동사		더불어 살다	중급	C
273	더욱	부사		더욱 좋다	초급	C
4992	더욱더	부사		더욱더 높아지다	중급	C
2334	더욱이	부사		더욱이 바람까지 불다	중급	C
3230	더위	명사		를 피하다	중급	B
1791	더하다	동사		숫자를	중급	B
	더하다	형용사		숫자를	중급	
2955	덕05	명사	德	이 높다	중급	C
2892	덕분	명사	德分	부모님 덕분	초급	B
	덕수궁	고유 명사	德壽宮			B
	덕택	명사		부모님 덕택	중급	
621	던지다	동사		공을	초급	B
2154	덜01	부사		덜 익다	중급	B
3313	덜다01	동사		밥을	중급	C
2678	덥다01	형용사		날씨가	초급	A
2110	덧붙이다	동사		벽지를	중급	C
3403	덩어리	명사		가 생기다	중급	C
2193	덮다	동사		이불을	중급	B
5198	덮이다	동사		뚜껑이	중급	C
62	데01	의존명사		갈 데(장소)	중급	B
	데다01	동사		불에	중급	
5094	데려가다	동사		아이를	초급	B
9529	데려오다	동사		친구를	초급	B
1167	데리다	동사		데리고 가다	중급	B
9101	데우다01	동사		찌개를	중급	C
5598	데이트	명사		date; 를 신청하다	초급	C
	데치다	동사		채소를	중급	
1198	도05	의존명사	度	영상 일 도	초급	C
3141	도10	명사	道	~를 깨치다		C
3800	도11	명사	道	행정 구역; 전국 각 ~	중급	C
2408	도구10	명사	道具	청소 도구	중급	B
	도난01	명사		을 당하다	중급	
3270	도달하다01	동사	到達-			C
1158	도대체	부사	都大體	도대체 얼마 만이니?	중급	C
3861	도덕	명사	道德			C
4052	도둑01	명사		을 잡다	중급	B
4417	도로01	부사		도로 오다	중급	B
1773	도로07	명사	道路	를 건너다	초급	B
5199	도리어	부사		도리어 화를 내다	중급	C
8045	도마01	명사		에 놓고 썰다	중급	C
6572	도망02	명사	逃亡	을 다니다	중급	C
6210	도망가다	동사	逃亡-	도둑이	중급	B
4195	도망치다	동사	逃亡-	감옥에서	중급	C
	도무지02	부사		도무지 모르다	중급	
	도서06	명사		도서 대출	중급	
1732	도서관	명사	圖書館	에서 공부하다	초급	A
423	도시03	명사	都市	를 건설하다	초급	A
3633	도시락	명사		을 싸다	중급	B
4993	도심04	명사	都心	에 위치하다	중급	C
2194	도와주다	동사		일을	초급	A
714	도움	명사		을 받다	초급	B
6042	도움말	명사				C
2195	도입	명사	導入	기술 도입	중급	C
5095	도자기	명사	陶瓷器	를 빚다	중급	B
12423	도장17	명사	圖章	을 찍다	중급	C
2548	도저히	부사	到底-	도저히 안 되다	중급	C
4054	도전04	명사	挑戰	을 계속하다	중급	C
2859	도중04	명사	途中	에 끼어들다	중급	B
9103	도착01	명사	到着	도착 시간	초급	A
1305	도착하다01	동사	到着-			A
	도쿄(동경)	고유 명사	東京			B
	독04	명사		이 퍼지다(뱀)	중급	
16709	독감01	명사	毒感	에 걸리다	중급	C
2175	독립	명사	獨立	독립 선언	중급	C
6775	독립하다	동사	獨立-			C
4196	독서03	명사	讀書	를 하다	초급	B
	독신자01	명사		로 살다	중급	
	독일	고유 명사	獨逸			A
	독일	명사		나라	초급	
13235	독일어	명사	獨逸語	를 가르치다	중급	B
	독자04	명사		독자와 작가	중급	
5886	독창적	명사	獨創的			C
1398	독특하다	형용사	獨特-	취향이	중급	C
6212	독하다	형용사	毒-	냄새가	중급	C
140	돈01	명사		을 벌다	초급	A
	돈가스	명사		를 먹다	초급	
	돌01	명사		을 맞다	중급	
	돌01	의존명사		을 맞다	중급	
1375	돌02	명사		~멩이; 을 던지다	초급	B
927	돌다	동사		바퀴가	초급	B
	돌려받다	동사		책을	중급	
	돌려보내다	동사		물건을	중급	
6776	돌려주다	동사		책을	초급	B
505	돌리다04	동사		바퀴를; 팽이를 ~	초급	B
5096	돌멩이	명사		를 던지다	중급	C
2956	돌보다	동사		아이를	중급	B
519	돌아가다	동사		바퀴가	초급	A
3348	돌아다니다	동사		거리를	중급	C
2176	돌아보다	동사		뒤를	중급	B
2825	돌아서다	동사		마음이	중급	B
377	돌아오다	동사		학교에서	초급	A
1109	돕다	동사		아버지를	초급	A
1879	동09	관형사	同			C
	동10	명사		동쪽	중급	
	동12	명사		행정 구역	중급	
4197	동15	의존명사	棟			C
8718	동그라미	명사		를 그리다	중급	C
9105	동그랗다	형용사		얼굴이	중급	C
6575	동기04	명사	同期	대학 동기	중급	C
	동기06	명사		를 유발하다	중급	
2232	동기07	명사	動機			B
	동남아	명사		지역	중급	
793	동네	명사	洞-	동네 사람	초급	B
	동대문	고유 명사	東大門			B
	동대문	명사		고적	초급	
	동대문시장	고유 명사	東大門市場			B
1774	동료	명사	同僚	직장 동료	중급	C
1294	동물	명사	動物	을 키우다	초급	A
12428	동물원	명사	動物園	에 가다	초급	B
3862	동부05	명사	東部	동부 유럽	중급	C
602	동생01	명사		이 태어나다	초급	A
5742	동서04	명사	東西			C
14242	동서남북	명사	東西南北	으로 찾다	중급	C
529	동시02	명사	同時	에 일어나다	초급	B
3920	동아리02	명사		에 가입하다	중급	B
214	동안01	명사		시간의 길이; 며칠 동안	초급	A
3111	동양03	명사	東洋	동양 사상	중급	B
15425	동양인	명사	東洋人	을 만나다	중급	C
	동영상	명사		을 보다	중급	
	동요02	명사		를 부르다	중급	
3737	동의02	명사	同意	를 구하다	중급	C
4198	동의하다01	동사	同意-			C
	동일02	명사		동일 조건	중급	
2620	동일하다	형용사	同一-			C
1815	동작03	명사	動作	이 느리다	중급	C
4503	동전05	명사	銅錢	백 원짜리 동전	초급	B
2569	동쪽	명사	東-	방향	초급	A
5341	동창01	명사	同窓	을 만나다	중급	B
	동창회	명사		초등학교 동창회	중급	
3112	동포02	명사	同胞	재미 동포	중급	C
2796	동행01	명사	同行			C
	동호회	명사		에 가입하다	중급	
2826	동화07	명사	童話	를 읽다	중급	B
8050	동화책	명사	童話冊	을 읽다	중급	C
2893	돼지	명사		를 기르다	초급	A
4418	돼지고기	명사		를 먹다	초급	A
2996	되게	부사		되게 크다	중급	B
	-되다05	접사		취소되다	초급	
5	되다01	동사		배우가; 어른이 ~	초급	A
	되도록	부사		되도록 빨리	중급	
4685	되돌리다	동사		시간을	중급	C
5602	되돌아가다	동사		집으로	중급	C
8349	되돌아보다	동사				C
5098	되돌아오다	동사		편지가	중급	C
6045	되살리다	동사		생명을	중급	C
	되살아나다	동사		입맛이	중급	
3231	되찾다	동사		기억을	중급	C
	되풀이01	명사		가 되다	중급	
5887	되풀이되다	동사				C
3523	되풀이하다01	동사				C
4994	된장	명사	-醬	에 찍다	초급	B
10482	된장찌개	명사	-醬-	를 먹다	초급	B
63	두01	관형사		숫자	초급	A
2827	두껍다	형용사		책이	초급	B
5099	두께01	명사		가 얇다	중급	C
3404	두뇌	명사	頭腦	두뇌 발달	중급	C
266	두다01	동사		책상 위에	초급	B
326	두다01	보조 용언				B
	두드러지다	동사		이마가	중급	
2860	두드러지다	형용사				C
2894	두드리다	동사		문을	중급	B
3466	두려움	명사		을 극복하다	중급	C
4419	두려워하다	동사		미래를	중급	C
3034	두렵다01	형용사		후환이	중급	C
2077	두르다	동사		목도리를	중급	C
5342	두리번거리다	동사		주위를	중급	C
5603	두부01	명사	豆腐	를 먹다	초급	B
5473	두세	관형사		두세 개	초급	B
4505	두어	관형사		두어 마리	중급	C
6394	두통	명사	頭痛	을 앓다	초급	B
	두통약	명사		을 복용하다	중급	
575	둘01	수사		숫자	초급	A
2594	둘러보다	동사		주위를	중급	B
1850	둘러싸다	동사		포장지를	중급	C
4995	둘러싸이다	동사		포장지에	중급	C
	둘레	명사		를 재다	중급	
2679	둘째	관형사		둘째 딸	초급	A
	둘째	명사		둘째 딸	초급	
1660	둘째	수사		둘째 딸	초급	A
2155	둥글다01	형용사		지구가	중급	B
2497	둥지	명사		를 틀다	중급	C
87	뒤01	명사		에 있다	초급	A
3271	뒤늦다	형용사		뒤늦게 깨닫다	중급	C
2997	뒤따르다	동사		뒤따라 걷다	중급	C
	뒤떨어지다	동사		대열에서 	중급	
	뒤지다01	동사		십 미터쯤	중급	
3272	뒤지다02	동사		가방을 ~	중급	C
2957	뒤집다	동사		옷을	중급	B
5100	뒤쪽01	명사		방향	초급	B
6989	뒤편	명사	-便	에 놓다	중급	C
9992	뒷골목	명사		으로 다니다	중급	C
3863	뒷모습	명사		을 보이다	중급	C
7497	뒷문	명사	-門	이 열리다	중급	C
6046	뒷산	명사	-山	에 오르다	중급	B
	드나들다	동사		차량이	중급	
2078	드디어	부사		드디어 끝나다	초급	C
1237	드라마	명사		drama; 를 보다	초급	B
	드라이	명사		가 잘 되다(헤어)	중급	
	드라이브	명사		를 나가다	중급	
	드라이어	명사		로 머리를 말리다	중급	
	드라이클리닝	명사		을 맡기다	중급	
598	드러나다	동사		사실이	중급	C
	드러내다	동사		몸매를	중급	
	드레스	명사		를 입다	중급	
1460	드리다01	동사		인사를 ~; 용돈을	초급	A
830	드리다01	보조 용언		도와 ~		A
1960	드물다	형용사		사람이	중급	C
	든든하다	형용사		마음이	중급	
	듣기	명사		듣기 평가	중급	
88	듣다01	동사		소리를 ~; 음악을	초급	A
2797	들01	명사				B
91	들다01	동사		돈이; 여관에 ~	초급	A
3142	들다01	보조 용언		따지고 ~		B
130	들다04	동사		꽃을 ~; 가방을	초급	A
1733	들려오다	동사		소식이	중급	B
4337	들려주다	동사		음악을	중급	B
1961	들르다	동사		서점에	초급	B
	들리다01	동사		감기에	중급	
866	들리다03	동사		소리가 ~	초급	B
	들리다04	동사		짐이	중급	
158	들어가다01	동사		방으로	초급	A
646	들어서다	동사		집에	중급	B
256	들어오다	동사		학교로	초급	A
9994	들어주다	동사		부탁을	중급	C
5743	들여놓다	동사				C
1739	들여다보다	동사		방 안을	중급	B
1515	들이다02	동사		손님을; '들다'의 사동사	중급	C
6779	들이마시다02	동사		숨을 ~		C
5604	들이켜다01	동사				C
	들키다01	동사		거짓말을	중급	
337	듯01	의존명사				C
3685	듯싶다	보조 용언				C
989	듯이01	의존명사				B
347	듯하다	보조 용언				C
1019	등01	명사		신체의 일부	초급	B
	등04	명사		일 등	중급	
3405	등04	의존명사	等	1~; 일 등	중급	B
18	등05	의존명사	等	서울, 부산 등	중급	B
	등기02	명사		를 이전하다	중급	
3349	등등01	의존명사	等等			C
3273	등록01	명사	登錄	신입생 등록	중급	B
7221	등록금	명사	登錄金	을 내다	중급	B
4268	등록증	명사	登錄證	을 발급받다	중급	C
9537	등록하다01	동사	登錄-			C
4996	등산	명사	登山	을 가다	초급	A
8355	등산로	명사	登山路			B
	등산복	명사		을 입다	중급	
3035	등장01	명사	登場	퇴장	중급	C
987	등장하다01	동사	登場-			C
3274	디스크	명사		disk		C
9995	디자이너	명사		designer; 패션 디자이너	중급	B
3036	디자인	명사		design; 이 예쁘다	초급	B
	디지털	명사		디지털 방송	중급	
26587	따님	명사		둘째 따님	중급	C
1590	따다01	동사		떼다; 사과를	중급	B
1312	따뜻하다	형용사		방 안이	초급	A
2468	따라가다	동사		친구를	중급	B
5605	따라다니다	동사		졸졸 따라다니다	중급	C
268	따라서	부사		−	중급	C
3921	따라오다	동사		뒤를	중급	B
1313	따로	부사		따로 분리하다	초급	B
9996	따로따로01	부사		따로따로 움직이다	중급	C
51	따르다01	동사		뒤를 ~	중급	B
3143	따르다02	동사		물을 ~	중급	B
	따르릉	부사		따르릉 울리다	중급	
5744	따스하다	형용사				C
	따지다01	동사		이유를	중급	
3524	딱02	부사		멎는 모양		C
1851	딱03	부사		딱 알맞다; 바라진 모양	중급	B
4200	딱딱하다01	형용사		굳다; 의자가	중급	C
2111	딴03	관형사		~ 일; 딴 생각	중급	B
625	딸01	명사		아들	초급	A
8053	딸기	명사		과일	초급	A
7500	딸아이	명사				C
1399	땀01	명사		이 나다	초급	B
321	땅01	명사		에 떨어지다	초급	B
8054	땅바닥	명사		에 놓다	중급	C
4201	땅속	명사		에 묻다	중급	C
6215	땅콩	명사		을 까먹다	중급	B
19	때01	명사		시간; 어릴 때	초급	A
5475	때02	명사		를 밀다; 더러운 물질	중급	C
7749	때때로	부사		때때로 변하다	중급	B
1353	때로	부사		때로는 느끼다	중급	C
1686	때리다01	동사		종아리를	중급	C
31	때문	의존명사				A
6047	땜03	의존명사		때문		B
5889	떠나가다	동사		고향을	중급	C
327	떠나다	동사		어디론가	초급	A
8727	떠나오다	동사		고향을	중급	C
2765	떠들다01	동사		시끄럽게; 말하다	초급	B
5890	떠들썩하다02	형용사		떠들다		C
1042	떠오르다	동사		태양이	중급	B
1749	떠올리다	동사		추억을	중급	B
1443	떡01	명사		음식	초급	A
18402	떡국	명사		음식	초급	C
13255	떡볶이	명사		음식	초급	B
1271	떨다01	동사		무서움에	중급	B
2570	떨리다01	동사		온몸이; 흔들리다	중급	B
2621	떨어뜨리다	동사		바닥에	중급	B
299	떨어지다	동사		낭떠러지로	초급	B
2798	떼01	명사		를 지어 다니다; 양 ~	중급	C
1070	떼다01	동사		스티커를	중급	B
40	또	부사		또 생기다	초급	A
250	또는	부사		남자 또는 여자	초급	B
2177	또다시	부사		또다시 반복하다	중급	B
248	또한	부사		나 또한	중급	B
1376	똑같다	형용사		모양이	초급	A
2622	똑같이	부사		똑같이 나누다	초급	B
3864	똑똑하다	형용사		머리가	초급	B
	똑똑히	부사		똑똑히 기억하다	중급	
5201	똑바로	부사		똑바로 가다	초급	A
	똥	명사		을 싸다	중급	
4338	뚜껑	명사		을 닫다	중급	B
	뚜렷하다	형용사		의식이	중급	
3113	뚫다	동사		구멍을	중급	C
	뚫리다	동사		구멍이	중급	
11721	뚱뚱하다	형용사		몸매가	초급	B
9541	뛰놀다	동사				C
1852	뛰다01	동사		심장이 ~; 빨리 뛰다	중급	A
1626	뛰다02	동사		운동장을; 빨리 나아가다	초급	A
4598	뛰어가다	동사		학교로	초급	C
9998	뛰어나가다	동사				B
1661	뛰어나다	형용사		솜씨가	중급	C
9114	뛰어나오다	동사		집 밖으로	중급	C
6399	뛰어내리다	동사		아래로	중급	C
3315	뛰어넘다	동사		담을	중급	C
9999	뛰어놀다	동사		운동장에서	중급	C
7224	뛰어다니다	동사		집안을	중급	B
2280	뛰어들다	동사		강물에	중급	B
9542	뛰어오다	동사				B
6780	뛰어오르다	동사				C
1178	뜨겁다	형용사		국물이	초급	A
1389	뜨다01	동사		달이; 솟아오르다	중급	B
7753	뜨다03	동사		떠나다		C
	뜨다04	동사		물을	중급	
1673	뜨다05	동사		눈을 ~	초급	B
3634	뜯다	동사		편지를	중급	C
6218	뜰01	명사		을 거닐다	중급	C
296	뜻	명사		이 어렵다	초급	B
5891	뜻대로	부사		뜻대로 되다	중급	C
4420	뜻밖	명사		뜻밖의 사실	중급	C
6219	뜻밖에	부사		뜻밖에 나타나다	중급	C
1816	뜻하다	동사				C
1792	띄다01	동사		눈에 ~	중급	C
4687	띄우다02	동사		배를 ~		C
	띠01	명사		를 매다	중급	
	띠04	명사		돼지띠	중급	
	띠다01	동사		허리띠를	중급	
1571	라디오	명사		를 켜다; radio	초급	A
2623	라면01	명사		&일ramen; 음식	초급	A
5606	라운드	명사		round		C
10002	라이벌	명사		rival		C
6781	라이터	명사		lighter		B
5202	라인01	명사		line		C
9544	라켓	명사		racket		C
	량05	명사		작업량	중급	
	러시아	고유 명사		Russia		A
	러시아	명사		나라	초급	
	런던	고유 명사		London		B
7503	레몬	명사		lemon; 과일	중급	B
5892	레스토랑	명사		&프restaurant; 에서 먹다	초급	B
8731	레이저	명사		laser		C
9115	레저	명사		leisure		C
5203	렌즈	명사		를 끼다; lens	중급	B
	렌터카	명사		를 빌리다	중급	
	-력02	접사		경제력	중급	
	로그인	명사		을 하다	중급	
5893	로봇	명사		robot; 로봇 장난감	중급	C
9116	로터리	명사		rotary		C
	-료02	접사		통화료	중급	
	-률04	접사		출생률	중급	
3525	리02	의존명사	里			C
3802	리그01	명사		league		C
2998	리듬	명사		에 맞추다; rhythm	중급	B
	리모컨	명사		으로 켜다	중급	
	리본	명사		으로 묶다	중급	
9546	리터01	의존명사		일 리터; liter	중급	C
2571	마구01	부사		마구 때리다	중급	B
	마냥02	부사		마냥 기다리다	중급	
3316	마누라01	명사				C
1740	마늘	명사		을 까다	중급	B
1617	마당	명사		이 넓다	초급	C
4788	마당	의존명사				C
3037	마디01	명사		가 굵다	중급	C
2799	마땅하다	형용사		상대가	중급	C
	마땅히	부사		마땅히 해야 하다	중급	
7756	마라톤	명사		marathon; 을 완주하다	중급	C
2233	마련	명사		학비 마련	중급	C
1572	마련	의존명사		학비 마련	중급	C
2440	마련되다	동사				B
833	마련하다	동사				B
2441	마루03	명사		~를 닦다; 에 앉다	중급	B
1649	마르다01	동사		물기가	초급	B
1168	마리01	의존명사		한 마리	초급	A
3740	마무리	명사		를 짓다	중급	C
8358	마사지	명사		를 받다; massage	중급	B
365	마시다	동사		물을	초급	A
4508	마약	명사	痲藥	에 중독되다	중급	C
9547	마요네즈	명사		&프mayonnaise		C
	마우스02	명사		를 누르다	중급	
480	마을01	명사		에 살다	초급	B
148	마음01	명사		이 따뜻하다	초급	A
5608	마음가짐	명사		을 가지다	중급	C
4789	마음껏	부사		마음껏 쓰다	중급	C
2921	마음대로	부사		마음대로 되다	중급	B
4339	마음먹다	동사		굳게 마음먹다	중급	C
2212	마음속	명사		으로 다짐하다	중급	B
7225	마음씨	명사		가 곱다	중급	C
3803	마이크	명사		를 잡다; mike	중급	C
2250	마주01	부사		마주 서다	중급	B
3741	마주치다	동사		손바닥을	중급	C
8736	마중01	명사		을 가다	초급	B
626	마지막	명사		마지막 경기	초급	A
545	마찬가지	명사		예전과 마찬가지이다	중급	B
4997	마찰	명사	摩擦	이 생기다	중급	C
580	마치03	부사		마치 천사 같다	중급	B
711	마치다02	동사		일을	초급	B
2265	마침02	부사		마침 잘 왔다	중급	B
1507	마침내	부사		마침내 해내다	중급	B
4998	마크	명사		mark		C
	마트	명사		에서 사다	초급	
	마흔	관형사		마흔 개	초급	
9548	마흔	수사		마흔 개	초급	A
1817	막01	부사		막 출발하다; 바로 지금	중급	B
1159	막02	부사		막 쓰다; 마구	중급	B
4421	막걸리	명사		를 마시다	초급	C
4269	막내	명사		로 태어나다	중급	B
700	막다01	동사		귀를	중급	B
	막대기01	명사		로 치다	중급	
3742	막상01	부사		막상 보니까	중급	C
	막연하다	형용사		앞날이	중급	
	막차01	명사		를 타다	중급	
1344	막히다	동사		통로가	초급	B
811	만01	의존명사		십 년 ~에		C
6221	만02	의존명사		화를 낼 ~도 하다		C
3865	만06	관형사	萬	숫자	초급	A
8359	만06	수사	萬	숫자	초급	A
7226	만07	관형사	滿	만 3주; ~ 3개월	중급	B
	만07	명사		만 3주	중급	
166	만나다	동사		친구를	초급	A
2572	만남	명사		을 갖다	중급	B
16774	만두01	명사	饅頭	음식	초급	B
61	만들다	동사		음식을	초급	A
1071	만들어지다	동사				B
3866	만만하다01	형용사		상대가; 대적할 만함	중급	C
9549	만세04	명사	萬歲			C
1134	만약	명사	萬若	만약의 경우	초급	B
	만원01	명사		을 이루다	중급	
1761	만일01	명사	萬一	에 대비하다	초급	B
5896	만점	명사	滿點	을 받다	중급	C
4999	만족01	명사	滿足	을 느끼다	중급	C
	만족감	명사		이 들다	중급	
7505	만족스럽다	형용사	滿足-	결과가	중급	C
6049	만족하다	동사	滿足-			B
3804	만족하다	형용사	滿足-			B
2522	만지다	동사		손을	초급	B
440	만큼	의존명사				B
451	만하다	보조 용언				C
2059	만화10	명사	漫畵	를 그리다	초급	B
9551	만화가	명사	漫畵家			C
	만화책	명사		을 보다	중급	
43	많다	형용사		돈이	초급	A
2381	많아지다	동사		나이가	중급	B
98	많이	부사		많이 사다	초급	A
28	말01	명사		을 하다; ~과 글	초급	A
	말04	명사		을 타다	초급	
2624	말05	명사		동물		B
780	말11	의존명사	末	학기 말	초급	B
3144	말기05	명사	末期	임신 말기	중급	C
	말끔히	부사		말끔히 닦다	중급	
5343	말다01	동사		감다; 신문을	중급	C
	말다02	동사		국에 밥을	중급	
576	말다03	동사		그만두다; 걱정을	초급	A
161	말다03	보조 용언				A
	말다툼	명사		이 생기다	중급	
	말레이시아	명사		나라	초급	
3922	말리다02	동사		싸움을 ~	중급	C
3232	말리다03	동사		빨래를 ~	중급	C
812	말씀	명사		이 없다	초급	A
3184	말씀드리다	동사				B
1381	말씀하다	동사				A
3145	말없이	부사		말없이 사라지다	중급	C
5746	말투	명사	-套	가 거칠다	중급	C
	말하기	명사		말하기 평가	중급	
32	말하다	동사				A
1077	맑다01	형용사		공기가	초급	A
3923	맘01	명사		마음; 이 좋다	중급	C
	맘껏	부사		맘껏 놀다	중급	
9552	맘대로	부사		맘대로 고르다; 마음대로	중급	C
390	맛01	명사		이 달다	초급	A
3275	맛보다01	동사				C
15475	맛없다	형용사		음식이	초급	A
1020	맛있다	형용사		음식이	초급	A
	망가지다	동사		자전거가	중급	
3467	망설이다	동사		잠시 망설이다	중급	C
4888	망원경	명사	望遠鏡			C
5000	망치다	동사		일을	중급	C
3146	망하다	동사	亡-	나라가	중급	C
378	맞다01	동사		답이 ~	초급	B
800	맞다02	동사		손님을 ~	중급	B
1546	맞다03	동사		매를 ~	중급	B
	맞벌이	명사		맞벌이 부부	중급	
2828	맞서다	동사		적과	중급	B
5344	맞은편	명사	-便	에 앉다	중급	B
3317	맞이하다	동사		새해를	중급	C
694	맞추다01	동사		답을	초급	B
	맞춤법	명사		에 맞다	중급	
	맞히다01	동사		정답을	중급	
1516	맡기다	동사		수리를	중급	B
633	맡다01	동사		담임을 ~; 업무를	중급	B
